Date,Day_of_the_week,App,Minutes,Category
8/27,Sunday,YOUTUBE,402,Entertainment
8/27,Sunday,TICTOK,180,Entertainment
8/27,Sunday,YOUTUBE_MUSIC,110,Entertainment
8/27,Sunday,INSTAGRAM,32,Social Media
8/28,Monday,YOUTUBE,389,Entertainment
8/28,Monday,TICTOK,208,Entertainment
8/28,Monday,INSTAGRAM,69,Social Media
8/28,Monday,SAMSUNG_INTERNET,42,Education
8/29,Tuesday,TICTOK,288,Entertainment
8/29,Tuesday,YOUTUBE,193,Entertainment
8/29,Tuesday,INSTAGRAM,50,Social Media
8/29,Tuesday,GOOGLE_PLAY_STORE,23,Education
8/30,Wednesday,YOUTUBE,209,Entertainment
8/30,Wednesday,TICTOK,189,Entertainment
8/30,Wednesday,INSTAGRAM,75,Social Media
8/30,Wednesday,YOUTUBE_MUSIC,63,Entertainment
8/31,Thursday,YOUTUBE,268,Entertainment
8/31,Thursday,YOUTUBE_MUSIC,146,Entertainment
8/31,Thursday,TICTOK,111,Entertainment
8/31,Thursday,INSTAGRAM,41,Social Media
9/1,Friday,YOUTUBE,344,Entertainment
9/1,Friday,TICTOK,142,Entertainment
9/1,Friday,CLASH_ROYAL,72,Entertainment
9/1,Friday,GOOGLE_PLAY_STORE,70,Other
9/2,Saturday,YOUTUBE,195,Entertainment
9/2,Saturday,TICTOK,62,Entertainment
9/2,Saturday,YOUTUBE_MUSIC,44,Entertainment
9/2,Saturday,INSTAGRAM,40,Social Media
